Year,Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction,ID,Shard
2004,0.008,-0.007,0.715,-0.431,0.046,0.8298,-0.134,Down,998,1
2005,-0.134,0.008,-0.007,0.715,-0.431,0.7869,-0.812,Down,999,1
2005,-0.812,-0.134,0.008,-0.007,0.715,1.5108,-1.167,Down,1000,1
2005,-1.167,-0.812,-0.134,0.008,-0.007,1.721,-0.363,Down,1001,1
2005,-0.363,-1.167,-0.812,-0.134,0.008,1.7389,0.351,Up,1002,1
2005,0.351,-0.363,-1.167,-0.812,-0.134,1.5691,-0.143,Down,1003,1
2005,-0.143,0.351,-0.363,-1.167,-0.812,1.4779,0.342,Up,1004,1
2005,0.342,-0.143,0.351,-0.363,-1.167,1.4904,-0.61,Down,1005,1
2005,-0.61,0.342,-0.143,0.351,-0.363,1.4888,0.398,Up,1006,1
2005,0.398,-0.61,0.342,-0.143,0.351,1.5621,-0.863,Down,1007,1
2005,-0.863,0.398,-0.61,0.342,-0.143,1.5103,0.6,Up,1008,1
2005,0.6,-0.863,0.398,-0.61,0.342,1.3354,0.967,Up,1009,1
2005,0.967,0.6,-0.863,0.398,-0.61,1.5968,-0.949,Down,1010,1
2005,-0.949,0.967,0.6,-0.863,0.398,1.4987,-0.778,Down,1011,1
2005,-0.778,-0.949,0.967,0.6,-0.863,1.692,-0.641,Down,1012,1
2005,-0.641,-0.778,-0.949,0.967,0.6,1.6435,-0.353,Down,1013,1
2005,-0.353,-0.641,-0.778,-0.949,0.967,1.4946,0.4,Up,1014,1
2005,0.4,-0.353,-0.641,-0.778,-0.949,1.6104,0.484,Up,1015,1
2005,0.484,0.4,-0.353,-0.641,-0.778,1.6359,0.041,Up,1016,1
2005,0.041,0.484,0.4,-0.353,-0.641,1.6006,-0.272,Down,1017,1
2005,-0.272,0.041,0.484,0.4,-0.353,1.6418,0.846,Up,1018,1
2005,0.846,-0.272,0.041,0.484,0.4,1.6798,0.689,Up,1019,1
2005,0.689,0.846,-0.272,0.041,0.484,1.68198,0.318,Up,1020,1
2005,0.318,0.689,0.846,-0.272,0.041,1.56174,-0.277,Down,1021,1
2005,-0.277,0.318,0.689,0.846,-0.272,1.55446,1.104,Up,1022,1
2005,1.104,-0.277,0.318,0.689,0.846,1.64816,-0.109,Down,1023,1
2005,-0.109,1.104,-0.277,0.318,0.689,1.34727,0.048,Up,1024,1
2005,0.048,-0.109,1.104,-0.277,0.318,1.41617,-0.858,Down,1025,1
2005,-0.858,0.048,-0.109,1.104,-0.277,1.51104,0.421,Up,1026,1
2005,0.421,-0.858,0.048,-0.109,1.104,1.49167,0.693,Up,1027,1
2005,0.693,0.421,-0.858,0.048,-0.109,1.5623,0.07,Up,1028,1
2005,0.07,0.693,0.421,-0.858,0.048,1.29018,0.33,Up,1029,1
2005,0.33,0.07,0.693,0.421,-0.858,1.52708,0.018,Up,1030,1
2005,0.018,0.33,0.07,0.693,0.421,1.4901,-0.792,Down,1031,1
2005,-0.792,0.018,0.33,0.07,0.693,1.58012,0.07,Up,1032,1
2005,0.07,-0.792,0.018,0.33,0.07,1.5512,-1.451,Down,1033,1
2005,-1.451,0.07,-0.792,0.018,0.33,1.74494,0.561,Up,1034,1
2005,0.561,-1.451,0.07,-0.792,0.018,1.50109,0.789,Up,1035,1
2005,0.789,0.561,-1.451,0.07,-0.792,1.51875,0.931,Up,1036,1
2005,0.931,0.789,0.561,-1.451,0.07,1.52368,-0.641,Down,1037,1
2005,-0.641,0.931,0.789,0.561,-1.451,1.79548,0.566,Up,1038,1
2005,0.566,-0.641,0.931,0.789,0.561,1.70806,-0.027,Down,1039,1
2005,-0.027,0.566,-0.641,0.931,0.789,1.56854,0.032,Up,1040,1
2005,0.032,-0.027,0.566,-0.641,0.931,1.61624,0.962,Up,1041,1
2005,0.962,0.032,-0.027,0.566,-0.641,1.63682,0.261,Up,1042,1
2005,0.261,0.962,0.032,-0.027,0.566,1.48883,-0.48,Down,1043,1
2005,-0.48,0.261,0.962,0.032,-0.027,1.52309,-1.019,Down,1044,1
2005,-1.019,-0.48,0.261,0.962,0.032,1.70497,0.186,Up,1045,1
2005,0.186,-1.019,-0.48,0.261,0.962,1.60402,-0.758,Down,1046,1
2005,-0.758,0.186,-1.019,-0.48,0.261,1.44982,0.562,Up,1047,1
2005,0.562,-0.758,0.186,-1.019,-0.48,1.43743,-0.752,Down,1048,1
2005,-0.752,0.562,-0.758,0.186,-1.019,1.51353,-0.808,Down,1049,1
2005,-0.808,-0.752,0.562,-0.758,0.186,1.65319,0.18,Up,1050,1
2005,0.18,-0.808,-0.752,0.562,-0.758,1.58193,-0.047,Down,1051,1
2005,-0.047,0.18,-0.808,-0.752,0.562,2.34437,-0.493,Down,1052,1
2005,-0.493,-0.047,0.18,-0.808,-0.752,1.81944,-1.02,Down,1053,1
2005,-1.02,-0.493,-0.047,0.18,-0.808,2.11447,0.07,Up,1054,1
2005,0.07,-1.02,-0.493,-0.047,0.18,2.24687,-0.095,Down,1055,1
2005,-0.095,0.07,-1.02,-0.493,-0.047,1.72172,0.244,Up,1056,1
