Year,Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction,ID,Shard
2002,-0.359,-0.65,0.621,0.918,0.574,1.2588,-0.48,Down,248,4
2002,-0.48,-0.359,-0.65,0.621,0.918,1.452,0.122,Up,249,4
2002,0.122,-0.48,-0.359,-0.65,0.621,1.299,-0.947,Down,250,4
2002,-0.947,0.122,-0.48,-0.359,-0.65,1.2119,-0.628,Down,251,4
2002,-0.628,-0.947,0.122,-0.48,-0.359,1.2864,0.683,Up,252,4
2002,0.683,-0.628,-0.947,0.122,-0.48,1.3869,-1.625,Down,253,4
2002,-1.625,0.683,-0.628,-0.947,0.122,1.4825,1.003,Up,254,4
2002,1.003,-1.625,0.683,-0.628,-0.947,1.3801,-0.992,Down,255,4
2002,-0.992,1.003,-1.625,0.683,-0.628,1.3333,-0.733,Down,256,4
2002,-0.733,-0.992,1.003,-1.625,0.683,1.3116,0.792,Up,257,4
2002,0.792,-0.733,-0.992,1.003,-1.625,1.4792,0.352,Up,258,4
2002,0.352,0.792,-0.733,-0.992,1.003,1.5528,0.1,Up,259,4
2002,0.1,0.352,0.792,-0.733,-0.992,1.3451,-0.019,Down,260,4
2002,-0.019,0.1,0.352,0.792,-0.733,1.1868,-2.861,Down,261,4
2002,-2.861,-0.019,0.1,0.352,0.792,1.812,1.175,Up,262,4
2002,1.175,-2.861,-0.019,0.1,0.352,2.0196,1.493,Up,263,4
2002,1.493,1.175,-2.861,-0.019,0.1,1.557,-0.708,Down,264,4
2002,-0.708,1.493,1.175,-2.861,-0.019,1.3672,-2.474,Down,265,4
2002,-2.474,-0.708,1.493,1.175,-2.861,1.4376,-0.404,Down,266,4
2002,-0.404,-2.474,-0.708,1.493,1.175,1.7783,-0.597,Down,267,4
2002,-0.597,-0.404,-2.474,-0.708,1.493,1.6658,-0.308,Down,268,4
2002,-0.308,-0.597,-0.404,-2.474,-0.708,1.4416,1.486,Up,269,4
2002,1.486,-0.308,-0.597,-0.404,-2.474,1.3719,1.434,Up,270,4
2002,1.434,1.486,-0.308,-0.597,-0.404,1.1594,-0.399,Down,271,4
2002,-0.399,1.434,1.486,-0.308,-0.597,1.0942,0.994,Up,272,4
2002,0.994,-0.399,1.434,1.486,-0.308,1.2159,-0.181,Down,273,4
2002,-0.181,0.994,-0.399,1.434,1.486,1.2725,-1.102,Down,274,4
2002,-1.102,-0.181,0.994,-0.399,1.434,1.3592,-1.887,Down,275,4
2002,-1.887,-1.102,-0.181,0.994,-0.399,1.1899,1.351,Up,276,4
2002,1.351,-1.887,-1.102,-0.181,0.994,1.4389,-1.551,Down,277,4
2002,-1.551,1.351,-1.887,-1.102,-0.181,1.3816,0.822,Up,278,4
2002,0.822,-1.551,1.351,-1.887,-1.102,1.411,1.798,Up,279,4
2002,1.798,0.822,-1.551,1.351,-1.887,1.3674,-0.005,Down,280,4
2002,-0.005,1.798,0.822,-1.551,1.351,1.3092,0.046,Up,281,4
2002,0.046,-0.005,1.798,0.822,-1.551,1.3938,-0.285,Down,282,4
2002,-0.285,0.046,-0.005,1.798,0.822,1.3922,2.263,Up,283,4
2002,2.263,-0.285,0.046,-0.005,1.798,1.4565,1.949,Up,284,4
2002,1.949,2.263,-0.285,0.046,-0.005,1.5943,-0.667,Down,285,4
2002,-0.667,1.949,2.263,-0.285,0.046,1.5493,1.451,Up,286,4
2002,1.451,-0.667,1.949,2.263,-0.285,1.5413,-0.45,Down,287,4
2002,-0.45,1.451,-0.667,1.949,2.263,1.5174,0.585,Up,288,4
2002,0.585,-0.45,1.451,-0.667,1.949,1.412,0.339,Up,289,4
2002,0.339,0.585,-0.45,1.451,-0.667,1.2102,-0.229,Down,290,4
2002,-0.229,0.339,0.585,-0.45,1.451,1.3044,-0.986,Down,291,4
2002,-0.986,-0.229,0.339,0.585,-0.45,1.354,-0.091,Down,292,4
2002,-0.091,-0.986,-0.229,0.339,0.585,1.2088,1.138,Up,293,4
2002,1.138,-0.091,-0.986,-0.229,0.339,1.4939,-0.052,Down,294,4
2002,-0.052,1.138,-0.091,-0.986,-0.229,1.1695,0.407,Up,295,4
2002,0.407,-0.052,1.138,-0.091,-0.986,1.255,-1.576,Down,296,4
2002,-1.576,0.407,-0.052,1.138,-0.091,1.3049,0.151,Up,297,4
2002,0.151,-1.576,0.407,-0.052,1.138,1.3392,-0.424,Down,298,4
2002,-0.424,0.151,-1.576,0.407,-0.052,1.2433,-1.465,Down,299,4
2002,-1.465,-0.424,0.151,-1.576,0.407,1.0579,0.585,Up,300,4
2002,0.585,-1.465,-0.424,0.151,-1.576,1.2236,0.535,Up,301,4
2002,0.535,0.585,-1.465,-0.424,0.151,1.1801,0.246,Up,302,4
2002,0.246,0.535,0.585,-1.465,-0.424,1.1476,-0.074,Down,303,4
