Year,Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction,ID,Shard
2003,3.32,0.049,0.456,-1.603,-0.315,1.2292,-0.048,Down,496,0
2003,-0.048,3.32,0.049,0.456,-1.603,1.1308,2.247,Up,497,0
2003,2.247,-0.048,3.32,0.049,0.456,1.4359,-0.654,Down,498,0
2003,-0.654,2.247,-0.048,3.32,0.049,1.5452,-1.409,Down,499,0
2003,-1.409,-0.654,2.247,-0.048,3.32,1.4676,1.939,Up,500,0
2003,1.939,-1.409,-0.654,2.247,-0.048,1.5603,0.0,Up,501,0
2003,0.0,1.939,-1.409,-0.654,2.247,1.4854,-0.141,Down,502,0
2003,-0.141,0.0,1.939,-1.409,-0.654,1.3963,0.583,Up,503,0
2003,0.583,-0.141,0.0,1.939,-1.409,1.3794,-1.443,Down,504,0
2003,-1.443,0.583,-0.141,0.0,1.939,1.4321,-0.394,Down,505,0
2003,-0.394,-1.443,0.583,-0.141,0.0,1.5346,-1.402,Down,506,0
2003,-1.402,-0.394,-1.443,0.583,-0.141,1.3582,-1.57,Down,507,0
2003,-1.57,-1.402,-0.394,-1.443,0.583,1.3352,-1.043,Down,508,0
2003,-1.043,-1.57,-1.402,-0.394,-1.443,1.5608,1.022,Up,509,0
2003,1.022,-1.043,-1.57,-1.402,-0.394,1.74455,-2.923,Down,510,0
2003,-2.923,1.022,-1.043,-1.57,-1.402,1.5748,-1.616,Down,511,0
2003,-1.616,-2.923,1.022,-1.043,-1.57,1.4359,1.305,Up,512,0
2003,1.305,-1.616,-2.923,1.022,-1.043,1.4591,0.678,Up,513,0
2003,0.678,1.305,-1.616,-2.923,1.022,1.5954,-2.285,Down,514,0
2003,-2.285,0.678,1.305,-1.616,-2.923,1.5103,1.313,Up,515,0
2003,1.313,-2.285,0.678,1.305,-1.616,1.57853,0.54,Up,516,0
2003,0.54,1.313,-2.285,0.678,1.305,1.2585,-1.409,Down,517,0
2003,-1.409,0.54,1.313,-2.285,0.678,1.4516,-0.544,Down,518,0
2003,-0.544,-1.409,0.54,1.313,-2.285,1.4508,-0.645,Down,519,0
2003,-0.645,-0.544,-1.409,0.54,1.313,1.4309,-1.009,Down,520,0
2003,-1.009,-0.645,-0.544,-1.409,0.54,1.2768,0.757,Up,521,0
2003,0.757,-1.009,-0.645,-0.544,-1.409,1.2382,-0.81,Down,522,0
2003,-0.81,0.757,-1.009,-0.645,-0.544,1.307,-1.269,Down,523,0
2003,-1.269,-0.81,0.757,-1.009,-0.645,1.2605,-0.16,Down,524,0
2003,-0.16,-1.269,-0.81,0.757,-1.009,1.4893,2.143,Up,525,0
2003,2.143,-0.16,-1.269,-0.81,0.757,1.4046,1.95,Up,526,0
2003,1.95,2.143,-0.16,-1.269,-0.81,1.2508,-0.71,Down,527,0
2003,-0.71,1.95,2.143,-0.16,-1.269,1.0756,-0.95,Down,528,0
2003,-0.95,-0.71,1.95,2.143,-0.16,1.1941,1.322,Up,529,0
2003,1.322,-0.95,-0.71,1.95,2.143,1.3982,-1.838,Down,530,0
2003,-1.838,1.322,-0.95,-0.71,1.95,1.2292,0.719,Up,531,0
2003,0.719,-1.838,1.322,-0.95,-0.71,1.4837,-1.314,Down,532,0
2003,-1.314,0.719,-1.838,1.322,-0.95,1.3744,1.176,Up,533,0
2003,1.176,-1.314,0.719,-1.838,1.322,1.2878,0.462,Up,534,0
2003,0.462,1.176,-1.314,0.719,-1.838,1.3733,-0.754,Down,535,0
2003,-0.754,0.462,1.176,-1.314,0.719,1.2089,-1.536,Down,536,0
2003,-1.536,-0.754,0.462,1.176,-1.314,1.2566,0.956,Up,537,0
2003,0.956,-1.536,-0.754,0.462,1.176,1.3327,-0.934,Down,538,0
2003,-0.934,0.956,-1.536,-0.754,0.462,1.2992,0.826,Up,539,0
2003,0.826,-0.934,0.956,-1.536,-0.754,1.3685,-2.583,Down,540,0
2003,-2.583,0.826,-0.934,0.956,-1.536,1.255,-0.836,Down,541,0
2003,-0.836,-2.583,0.826,-0.934,0.956,1.4277,0.432,Up,542,0
2003,0.432,-0.836,-2.583,0.826,-0.934,1.62,3.446,Up,543,0
2003,3.446,0.432,-0.836,-2.583,0.826,1.8163,0.165,Up,544,0
2003,0.165,3.446,0.432,-0.836,-2.583,1.5419,3.543,Up,545,0
2003,3.543,0.165,3.446,0.432,-0.836,1.70042,0.424,Up,546,0
2003,0.424,3.543,0.165,3.446,0.432,1.5551,0.874,Up,547,0
2003,0.874,0.424,3.543,0.165,3.446,1.4734,0.189,Up,548,0
2003,0.189,0.874,0.424,3.543,0.165,1.4391,2.298,Up,549,0
2003,2.298,0.189,0.874,0.424,3.543,1.88371,-3.523,Down,550,0
2003,-3.523,2.298,0.189,0.874,0.424,1.293,1.216,Up,551,0
